date,Open,High,Low,Close,Volume,ticker,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,V,V,V,V,V,RMS.PA,RMS.PA,RMS.PA,RMS.PA,RMS.PA,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2020-01-02,71.54588979671196,72.59889150198023,71.29230380764884,72.53851318359375,135480400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,71.76566667933918,72.59405542623057,71.60868452797844,71.83329010009766,146322800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,70.95418800651902,72.44432080433776,70.7030121336898,72.40567779541016,118387200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,72.41535254834196,72.67135607636844,71.84538465436648,72.0651626586914,108872000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,71.76810120120939,73.52631792855652,71.76810120120939,73.22442626953125,132079200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,74.20253438813242,74.97296230565743,73.9513658951312,74.77975463867188,170108400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,75.01403533204297,75.51396965111952,74.44647758118805,74.94882202148438,140644800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,75.26520375211625,76.57661912211044,75.14685723047293,76.550048828125,121532000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,76.48726853727727,76.69738393857047,75.39321353332888,75.5163803100586,161954400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,75.3159002377914,76.197422029665,74.76041540138982,75.1927261352539,121923600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,75.73614052978684,76.24573732895618,75.37387064834499,76.13463592529297,108829200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
